,laseron,near food
0,1592,False
1,1593,False
2,1594,False
3,1595,False
4,1596,False
5,1597,False
6,1598,True
7,1599,True
8,1600,True
9,1601,True
10,1602,True
11,1603,True
12,1604,True
13,1605,True
14,1606,True
15,1607,True
16,1608,True
17,1609,True
18,1610,True
19,1611,True
20,1612,True
21,1613,True
22,1614,True
23,1615,True
24,1616,True
25,1617,True
26,1618,True
27,1619,True
28,1620,True
29,1621,True
30,1622,True
31,1623,True
32,1624,True
33,1625,True
34,1626,True
35,1627,True
36,1628,True
37,1629,True
38,1630,True
39,1631,True
40,1632,True
41,1633,True
42,1634,True
43,1635,True
44,1636,True
45,1637,True
46,1638,True
47,1639,True
48,1640,True
49,1641,True
50,1642,True
51,1643,True
52,1644,True
53,1645,True
54,1646,True
55,1647,True
56,1648,True
57,1649,True
58,1650,True
59,1651,True
60,1652,True
61,1653,True
62,1654,True
63,1655,True
64,1656,True
65,1657,True
66,1658,True
67,1659,True
68,1660,True
69,1661,True
70,1662,True
71,1663,True
72,1664,True
73,1665,True
74,1666,True
75,1667,True
76,1668,True
77,1669,True
78,1670,True
79,1671,True
80,1672,True
81,1673,True
82,1674,True
83,1675,True
84,1676,True
85,1677,True
86,1678,True
87,1679,True
88,1680,True
89,1681,True
90,1682,True
91,1683,True
92,1684,True
93,1685,True
94,1686,True
95,1687,True
96,1688,True
97,1689,True
98,1690,True
99,1691,True
100,1692,True
101,1693,True
102,1694,True
103,1695,True
104,1696,True
105,1697,True
106,1698,True
107,1699,True
108,1700,True
109,1701,True
110,1702,True
111,1703,True
112,1704,True
113,1705,True
114,1706,True
115,1707,True
116,1708,True
117,1709,True
118,1710,True
119,1711,True
120,1712,True
121,1713,True
122,1714,True
123,1715,True
124,1716,True
125,1717,True
126,1718,True
127,1719,True
128,1720,True
129,1721,True
130,1722,True
131,1723,True
132,1724,True
133,1725,True
134,1726,True
135,1727,True
136,1728,True
137,1729,True
138,1730,True
139,1731,True
140,1732,True
141,1733,True
142,1734,True
143,1735,True
144,1736,True
145,1737,True
146,1738,True
147,1739,True
148,1740,True
149,1741,True
150,1742,True
151,1743,True
152,1744,True
153,1745,True
154,1746,True
155,1747,True
156,1748,True
157,1749,True
158,1750,True
159,1751,True
160,1752,True
161,1753,True
162,1754,True
163,1755,True
164,1756,True
165,1757,True
166,1758,True
167,1759,True
168,1760,True
169,1761,True
170,1762,True
171,1763,True
172,1764,True
173,1765,True
174,1766,True
175,1767,True
176,1768,True
177,1769,True
178,1770,True
179,1771,True
180,1772,True
181,1773,True
182,1774,True
183,1775,True
184,1776,True
185,1777,True
186,1778,True
187,1779,True
188,1780,True
189,1781,True
190,1782,True
191,1783,True
192,1784,True
193,1785,True
194,1786,True
195,1787,True
196,1788,True
197,1789,True
198,1790,True
199,1791,True
200,1792,True
201,1793,True
202,1794,True
203,1795,True
204,1796,True
205,1797,True
206,1798,True
207,1799,True
208,1800,True
209,1801,True
210,1802,True
211,1803,True
212,1804,True
213,1805,True
214,1806,True
215,1807,True
216,1808,True
217,1809,True
218,1810,True
219,1811,True
220,1812,True
221,1813,True
222,1814,True
223,1815,True
224,1816,True
225,1817,True
226,1818,True
227,1819,True
228,1820,True
229,1821,True
230,1822,True
231,1823,True
232,1824,True
233,1825,True
234,1826,True
235,1827,True
236,1828,True
237,3288,True
238,3289,True
239,3290,False
240,3291,False
241,3292,False
242,3293,False
243,3294,False
244,3295,False
245,3296,False
246,3297,False
247,3298,False
248,3299,True
249,3300,True
250,3301,True
251,3302,True
252,3303,True
253,3304,True
254,3305,True
255,3306,True
256,3307,True
257,3308,True
258,3309,True
259,3310,True
260,3311,True
261,3312,True
262,3313,True
263,3314,True
264,3315,True
265,3316,True
266,3317,True
267,3318,True
